Код ФФ,Код СЦ,Distance
101,1,411
101,2,154
101,3,1423
101,4,151
101,5,817
101,6,606
101,7,214
101,8,113
101,9,1530
101,10,2828
101,11,854
101,12,947
101,13,947
101,14,821
101,15,416
101,16,316
101,17,4296
101,18,104
101,19,1102
101,20,130
101,21,1098
101,22,1890
101,23,3733
101,24,564
101,25,125
101,26,1326
101,27,146
101,28,130
101,29,82
101,30,127
101,31,1475
101,32,376
101,33,662
101,34,1524
101,35,477
101,36,563
101,37,361
101,38,891
101,39,1327
101,40,1237
101,41,151
101,42,1911
101,43,443
101,44,1482
101,45,3707
101,46,2226
101,47,1184
101,48,305
101,49,3753
101,50,973
101,51,117
101,52,144
101,53,404
101,54,807
101,55,3488
101,56,88
101,57,154
101,58,130
102,1,945
102,2,1182
102,3,1707
102,4,1104
102,5,1778
102,6,1285
102,7,883
102,8,1063
102,9,1815
102,10,1808
102,11,1815
102,12,791
102,13,373
102,14,1782
102,15,967
102,16,931
102,17,3276
102,18,1092
102,19,759
102,20,1085
102,21,1
102,22,979
102,23,2713
102,24,1191
102,25,1055
102,26,1337
102,27,1133
102,28,1085
102,29,1078
102,30,1115
102,31,480
102,32,875
102,33,442
102,34,890
102,35,1473
102,36,673
102,37,1292
102,38,271
102,39,565
102,40,1521
102,41,1096
102,42,891
102,43,1158
102,44,414
102,45,2687
102,46,1312
102,47,402
102,48,1266
102,49,2732
102,50,1258
102,51,1083
102,52,1099
102,53,1098
102,54,420
102,55,2468
102,56,1059
102,57,1094
102,58,1085
103,1,1878
103,2,1974
103,3,2684
103,4,1808
103,5,2243
103,6,1591
103,7,1774
103,8,1823
103,9,2792
103,10,960
103,11,2250
103,12,1779
103,13,956
103,14,2230
103,15,1521
103,16,1576
103,17,2427
103,18,1844
103,19,861
103,20,1803
103,21,980
103,22,3
103,23,1865
103,24,2168
103,25,1776
103,26,2326
103,27,1841
103,28,1803
103,29,1842
103,30,1824
103,31,518
103,32,1766
103,33,1332
103,34,397
103,35,2214
103,36,1318
103,37,2180
103,38,1103
103,39,624
103,40,2498
103,41,1800
103,42,236
103,43,2094
103,44,884
103,45,1839
103,46,345
103,47,710
103,48,1947
103,49,1884
103,50,2235
