Код СЦ1,Код СЦ2,Distance
1,1,0
2,1,450
3,1,1022
4,1,538
5,1,1192
6,1,984
7,1,388
8,1,492
9,1,1130
10,1,2707
11,1,1243
12,1,602
13,1,1061
14,1,1209
15,1,781
16,1,681
17,1,4135
18,1,495
19,1,1284
20,1,511
21,1,944
22,1,1877
23,1,3609
24,1,277
25,1,498
26,1,920
27,1,534
28,1,511
29,1,473
30,1,515
31,1,1377
32,1,119
33,1,541
34,1,1635
35,1,718
36,1,750
37,1,454
38,1,862
39,1,1439
40,1,839
41,1,526
42,1,1789
43,1,258
44,1,1346
45,1,3585
46,1,2211
47,1,1299
48,1,692
49,1,3628
50,1,579
51,1,512
52,1,533
53,1,783
54,1,525
55,1,3367
56,1,335
57,1,534
58,1,511
1,2,450
2,2,0
3,2,1463
4,2,198
5,2,851
6,2,668
7,2,327
8,2,186
9,2,1570
10,2,2912
11,2,902
12,2,1005
13,2,1030
14,2,868
15,2,497
16,2,397
17,2,4341
18,2,160
19,2,1181
20,2,184
21,2,1181
22,2,1974
23,2,3814
24,2,526
25,2,193
26,2,1361
27,2,193
28,2,184
29,2,143
30,2,174
31,2,1557
32,2,416
33,2,745
34,2,1628
35,2,382
36,2,644
37,2,226
38,2,969
39,2,1408
40,2,1280
41,2,203
42,2,1995
43,2,404
44,2,1566
45,2,3791
46,2,2311
47,2,1268
48,2,352
49,2,3834
50,2,1020
51,2,171
52,2,193
53,2,467
54,2,866
55,2,3573
56,2,135
57,2,228
58,2,184
1,3,1022
2,3,1463
3,3,0
4,3,1550
5,3,2203
6,3,1995
7,3,1400
8,3,1503
9,3,283
10,3,3514
11,3,2254
12,3,906
13,3,1907
14,3,2220
15,3,1792
16,3,1692
17,3,4942
18,3,1506
19,3,2198
20,3,1523
21,3,1707
22,3,2684
23,3,4416
24,3,1135
25,3,1510
26,3,455
27,3,1546
28,3,1523
29,3,1485
30,3,1526
31,3,2183
32,3,1131
33,3,1369
34,3,2482
35,3,1729
36,3,1698
37,3,1465
38,3,1737
39,3,2260
40,3,189
41,3,1537
42,3,2596
43,3,1235
44,3,2109
45,3,4392
46,3,3018
47,3,2100
48,3,1704
49,3,4435
50,3,452
51,3,1523
52,3,1544
53,3,1795
54,3,1288
55,3,4174
56,3,1346
57,3,1545
58,3,1523
1,4,538
2,4,198
3,4,1550
4,4,0
5,4,677
6,4,483
7,4,221
8,4,51
9,4,1656
10,4,2732
11,4,728
12,4,1011
13,4,850
14,4,694
15,4,316
16,4,216
17,4,4161
18,4,52
19,4,964
20,4,26
21,4,1104
22,4,1808
23,4,3634
24,4,693
25,4,51
26,4,1446
27,4,47
28,4,26
29,4,81
30,4,27
31,4,1377
32,4,502
33,4,668
34,4,1444
35,4,418
36,4,464
37,4,406
38,4,891
39,4,1228
40,4,1366
41,4,19
42,4,1815
43,4,571
44,4,1488
45,4,3610
46,4,2146
47,4,1088
48,4,177
49,4,3653
50,4,1105
51,4,35
52,4,8
53,4,283
54,4,865
55,4,3392
56,4,217
57,4,62
58,4,26
1,5,1192
2,5,851
3,5,2203
4,5,677
5,5,0
6,5,657
7,5,895
8,5,725
9,5,2324
10,5,3195
11,5,53
12,5,1679
13,5,1521
14,5,18
15,5,988
16,5,888
17,5,4624
18,5,718
19,5,1398
20,5,692
21,5,1777
22,5,2242
23,5,4097
24,5,1359
25,5,725
26,5,2114
27,5,687
28,5,692
29,5,747
30,5,693
31,5,2048
32,5,1170
33,5,1341
34,5,1878
35,5,742
36,5,1135
37,5,1071
38,5,1531
39,5,1899
40,5,2034
41,5,693
42,5,2486
43,5,1237
44,5,2162
45,5,4074
46,5,2580
47,5,1759
48,5,519
49,5,4117
50,5,1773
51,5,701
52,5,681
53,5,835
54,5,1539
55,5,3856
56,5,883
57,5,736
58,5,692
1,6,984
2,6,668
3,6,1995
4,6,483
5,6,657
6,6,0
7,6,676
8,6,497
9,6,2101
10,6,2544
11,6,665
12,6,1457
13,6,901
14,6,643
15,6,333
16,6,435
17,6,3972
18,6,522
19,6,746
20,6,480
21,6,1284
22,6,1590
23,6,3446
24,6,1148
25,6,497
26,6,1892
27,6,517
28,6,480
29,6,536
30,6,497
31,6,1409
32,6,947
33,6,1002
34,6,1226
35,6,888
36,6,614
37,6,875
38,6,1059
39,6,1124
40,6,1811
41,6,471
42,6,1782
43,6,1026
44,6,1635
45,6,3422
46,6,1928
47,6,1120
48,6,509
49,6,3465
50,6,1551
51,6,489
52,6,478
53,6,203
54,6,1197
55,6,3204
56,6,672
57,6,508
58,6,480
1,7,388
2,7,327
3,7,1400
4,7,221
5,7,895
6,7,676
7,7,0
8,7,182
9,7,1504
10,7,2603
11,7,936
12,7,806
13,7,813
14,7,902
15,7,353
16,7,251
17,7,4032
18,7,212
19,7,996
20,7,203
21,7,883
22,7,1774
23,7,3505
24,7,663
25,7,176
26,7,1295
27,7,251
28,7,203
29,7,191
30,7,232
31,7,1273
32,7,268
33,7,447
34,7,1388
35,7,589
36,7,444
37,7,534
38,7,671
39,7,1191
40,7,1214
41,7,210
42,7,1686
43,7,545
44,7,1267
45,7,3482
46,7,2108
47,7,1052
48,7,386
49,7,3525
50,7,954
51,7,201
52,7,217
53,7,481
54,7,644
55,7,3264
56,7,182
57,7,214
58,7,203
1,8,492
2,8,186
3,8,1503
4,8,51
5,8,725
6,8,497
7,8,182
8,8,0
9,8,1609
10,8,2718
11,8,766
12,8,965
13,8,835
14,8,732
15,8,302
16,8,202
17,8,4146
18,8,32
19,8,987
20,8,34
21,8,1062
22,8,1822
23,8,3620
24,8,656
25,8,10
26,8,1400
27,8,71
28,8,34
29,8,44
30,8,51
31,8,1363
32,8,455
33,8,626
34,8,1458
35,8,428
36,8,449
37,8,392
38,8,850
39,8,1213
40,8,1319
41,8,40
42,8,1800
43,8,534
44,8,1447
45,8,3596
46,8,2160
47,8,1074
48,8,216
49,8,3639
50,8,1059
51,8,30
52,8,47
53,8,297
54,8,825
55,8,3378
56,8,180
57,8,48
58,8,34
1,9,1130
2,9,1570
3,9,283
4,9,1656
5,9,2324
6,9,2101
7,9,1504
8,9,1609
9,9,0
10,9,3621
11,9,2362
12,9,1014
13,9,2015
14,9,2328
15,9,1900
16,9,1800
17,9,5050
18,9,1614
19,9,2305
20,9,1630
21,9,1814
22,9,2791
23,9,4523
24,9,1242
25,9,1617
26,9,485
27,9,1653
28,9,1630
29,9,1592
30,9,1633
31,9,2291
32,9,1238
33,9,1476
34,9,2589
35,9,1836
36,9,1806
37,9,1573
38,9,1845
39,9,2367
40,9,296
41,9,1645
42,9,2703
43,9,1343
44,9,2217
45,9,4499
46,9,3125
47,9,2207
48,9,1811
49,9,4542
50,9,560
51,9,1631
52,9,1652
53,9,1902
54,9,1396
55,9,4281
56,9,1454
57,9,1653
58,9,1630
1,10,2707
2,10,2912
3,10,3514
4,10,2732
5,10,3195
6,10,2544
7,10,2603
8,10,2718
9,10,3621
10,10,0
11,10,3199
12,10,2611
13,10,1889
14,10,3177
15,10,2470
16,10,2511
17,10,1436
18,10,2741
19,10,1811
20,10,2726
21,10,1807
22,10,960
23,10,910
24,10,2997
25,10,2714
26,10,3159
27,10,2764
28,10,2726
29,10,2773
30,10,2743
31,10,1346
32,10,2598
33,10,2164
34,10,1325
35,10,3134
36,10,2254
37,10,3016
38,10,1932
39,10,1568
40,10,3332
41,10,2717
42,10,918
43,10,2927
44,10,1634
45,10,886
46,10,620
47,10,1646
48,10,2894
49,10,929
50,10,3072
51,10,2723
52,10,2725
53,10,2507
54,10,2230
55,10,668
56,10,2784
57,10,2672
58,10,2726
1,11,1243
2,11,902
3,11,2254
4,11,728
5,11,53
6,11,665
7,11,936
8,11,766
9,11,2362
10,11,3199
11,11,0
12,11,1716
13,11,1558
14,11,39
15,11,1025
16,11,925
17,11,4631
18,11,755
19,11,1406
20,11,729
21,11,1814
22,11,2250
23,11,4105
24,11,1396
25,11,762
26,11,2151
27,11,724
28,11,729
29,11,784
30,11,730
31,11,2085
32,11,1207
33,11,1378
34,11,1885
35,11,779
36,11,1172
37,11,1108
38,11,1568
